structure_name,reaction,energy_ts,energy_first,energy_last,e_affinity,en_pauling,ion_pot,d_radius,d_filling,d_center,d_width,d_skewness,d_kurtosis,sp_filling,d_density,sp_density,work_func,n_coord
"Rh_100_CO2[ss]=CO[s]+O[s]_brg[Rh.8,Rh.8]-brg[Rh.8,Rh.8]_brg[Rh.8,Rh.8]_brg[Rh.8,Rh.8]-00",CO2[ss]=CO[s]+O[s],-0.4588918931435728,-0.777360732379293,-1.0352747185347653,1.1370000000000002,2.28,7.4589,1.25,8.133667078266665,-1.5266091359964202,1.7229202145403166,0.3420610242073742,4.103753548034622,0.016344376855555558,2.870277777777778,0.002960722222222222,5.315359645609029,9.0
"Rh_100_CO2[ss]=CO[s]+O[s]_top[Rh.8]-top[Rh.8]_brg[Rh.8,Rh.8]_brg[Rh.8,Rh.8]-00",CO2[ss]=CO[s]+O[s],-0.1629346235963567,-0.7783500022446788,-0.9626169221987766,1.1370000000000002,2.28,7.4589,1.25,8.133667078266665,-1.5266091359964202,1.7229202145403166,0.3420610242073742,4.103753548034622,0.016344376855555558,2.870277777777778,0.002960722222222222,5.315359645609029,8.0
"Rh_100_CO2[ss]=CO[s]+O[s]_top[Rh.8]-top[Rh.8]_top[Rh.8]_4fh[Rh.8,Rh.8,Rh.8,Rh.8]-00",CO2[ss]=CO[s]+O[s],0.008938191288052622,-0.5739832575450237,-0.9926133911972101,1.1370000000000002,2.28,7.4589,1.25,8.133667078266665,-1.5266091359964202,1.7229202145403166,0.3420610242073742,4.103753548034622,0.016344376855555558,2.870277777777778,0.002960722222222222,5.315359645609029,8.0
"Rh+Pt1_100_CO2[ss]=CO[s]+O[s]_brg[Pt.8,Rh.8]-brg[Rh.8,Rh.8]_brg[Pt.8,Rh.8]-brg[Rh.8,Rh.8]-00",CO2[ss]=CO[s]+O[s],-0.3008956595181189,-0.6439193712753877,-0.8426594820734863,1.6325000000000003,2.24,8.208865,1.275,8.587235934191375,-1.8529239448504797,1.74150468751305,0.5144884636112637,4.179551258046242,0.5857152686481245,2.149025,0.22282536875000003,5.3479136673461785,8.0
"Rh+Pt1_100_CO2[ss]=CO[s]+O[s]_top[Pt.8]-top[Rh.8]_top[Pt.8]-4fh[Pt.8,Rh.8,Rh.8,Rh.8]-00",CO2[ss]=CO[s]+O[s],0.1670855841480261,-0.42858303745333615,-0.4321372523586433,1.6325000000000003,2.24,8.208865,1.275,8.587235934191375,-1.8529239448504797,1.74150468751305,0.5144884636112637,4.179551258046242,0.5857152686481245,2.149025,0.22282536875000003,5.3479136673461785,8.0
"Cu_100_CO2[ss]=CO[s]+O[s]_brg[Cu.8,Cu.8]-brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]-00",CO2[ss]=CO[s]+O[s],0.34741447261740177,-0.18715778935029448,0.34452299096710703,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,8.0
"Cu_100_CO2[ss]=CO[s]+O[s]_top[Cu.8]-top[Cu.8]_top[Cu.8]_4fh[Cu.8,Cu.8,Cu.8,Cu.8]-00",CO2[ss]=CO[s]+O[s],0.3632815666173883,-0.9480410083665447,-0.16421587161630669,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,8.0
"Cu+Zn1_100_CO2[ss]=CO[s]+O[s]_brg[Cu.8,Zn.8]-brg[Cu.8,Cu.8]_brg[Cu.8,Zn.8]-brg[Cu.8,Cu.8]-00",CO2[ss]=CO[s]+O[s],0.17658984024865276,-0.3084159336171979,-0.5404064507051771,0.6175,1.775,8.5602895,1.1949999999999998,9.25687974035922,-4.679083900768277,1.2061942587919428,6.366670466378215,64.94358991170806,1.0093940838888749,0.05694424999999999,0.323020415625,4.746688688055812,8.0
"Cu+Zn1_100_CO2[ss]=CO[s]+O[s]_top[Cu.8]-top[Cu.8]_brg[Cu.8,Zn.8]-brg[Cu.8,Zn.8]-00",CO2[ss]=CO[s]+O[s],0.17669052235987692,-0.30896424300181025,-0.53203935834199,0.6175,1.775,8.5602895,1.1949999999999998,9.25687974035922,-4.679083900768277,1.2061942587919428,6.366670466378215,64.94358991170806,1.0093940838888749,0.05694424999999999,0.323020415625,4.746688688055812,8.0
"Cu+Zn1_100_CO2[ss]=CO[s]+O[s]_top[Zn.8]-top[Cu.8]_top[Zn.8]-4fh[Cu.8,Cu.8,Cu.8,Zn.8]-00",CO2[ss]=CO[s]+O[s],0.2620801170528466,-0.9537647869033208,-0.3060855507096676,0.6175,1.775,8.5602895,1.1949999999999998,9.25687974035922,-4.679083900768277,1.2061942587919428,6.366670466378215,64.94358991170806,1.0093940838888749,0.05694424999999999,0.323020415625,4.746688688055812,8.0
